id,user_id,tweeted_at,content
d6189f36-cd17-4471-ac35-8a4b5be88e46,aae9fc43-835e-486f-9f3b-fb1f10fb8656,2018-09-01T14:08:27.731650,Jaffle Shop again. Ordered a chai and mighty. This place is disgusting.
79ff594a-e489-4773-949c-f7a2d18a0032,381d9d38-6e08-4897-b7ae-eed369cdc90f,2018-09-01T11:13:10.114690,"Jaffles from the Jaffle Shop are the best! Ordered a for richer or pourover , a for richer or pourover , a mel-bun, and a flame impala."
9f08afc3-47dd-47af-81f5-f11fd99a4094,e61e1c45-0c34-416e-a136-872fa536f926,2018-09-01T12:20:12.527269,Jaffle Shop again. Ordered a vanilla ice and a chai and mighty. This place is gross.
3e6dc90a-a4f1-4877-9d1c-7df3a91e0d1b,873ffd5a-1c4e-44c2-abfc-5bb7fc1310bd,2018-09-01T14:54:06.847613,"Jaffles from the Jaffle Shop are sooo gooood! Ordered a tangaroo, a vanilla ice, a flame impala, and a the krautback."
b6c3747b-de4a-478e-a482-f3c7ca2546f3,226b17b5-02a6-4184-b9e6-1a40b63fa98b,2018-09-01T11:51:44.655600,Jaffle Shop again. Ordered a vanilla ice. This place is disgusting.
6aee7703-9025-4209-82d5-861b68491d7f,1dd880ca-36de-4ef6-8c12-75b672e321f4,2018-09-01T13:01:30.535645,Jaffle Shop again. Ordered a tangaroo. This place is inedible.
45d102d9-5092-4dee-b88b-c13ee74117ee,9ae4b004-2f0d-404b-8847-0a935b08e254,2018-09-01T15:01:49.527011,Jaffles from the Jaffle Shop are sooo gooood! Ordered a for richer or pourover .
8d31e678-3260-48ef-8efc-f7658fc9e418,b224b4c6-bfcc-45cf-ba74-8912d86459c6,2018-09-01T11:25:27.759832,Jaffle shop is just meh. Ordered a vanilla ice.
daa0a9e4-aa70-41d5-8327-0433aa3cbf09,9ef83201-4779-42f6-9226-ee923629afae,2018-09-01T13:58:59.070252,Jaffles from the Jaffle Shop are sooo gooood! Ordered a chai and mighty.
be3ccffe-efd6-4bb5-93d7-b75201cff979,6eb68fec-0db7-4747-84ba-10811f526543,2018-09-01T14:54:47.855292,Jaffles from the Jaffle Shop are delicious! Ordered a for richer or pourover .
be0db1fb-3778-41db-9d8b-36b9161e01c8,3f112f22-bc32-4662-8aba-06e59ed28148,2018-09-01T11:22:12.589038,Jaffles from the Jaffle Shop are my favorite! Ordered a chai and mighty.
de861d3e-eff7-4de0-bf23-82dd1ffd4a56,9b92fe76-981b-47a7-b331-d926c6185c5b,2018-09-01T14:25:57.631634,"Jaffles from the Jaffle Shop are the best! Ordered a chai and mighty, a vanilla ice, a for richer or pourover , a vanilla ice, a tangaroo, a flame impala, a the krautback, a flame impala, a mel-bun, and a nutellaphone who dis?."
eecb3243-eaff-4924-b228-a293585e9ae0,c91e2410-0b9b-4e8d-8186-7dea5a7744af,2018-09-02T12:42:53.646410,Jaffle Shop again. Ordered a for richer or pourover . This place is disgusting.
46d60a59-d153-4cb9-b63d-dfc0ff79af10,40591ced-e548-4f9f-aed2-b615b16337dc,2018-09-02T13:04:19.192071,"Jaffles from the Jaffle Shop are amazing! Ordered a vanilla ice, a chai and mighty, a vanilla ice, a doctor stew, a the krautback, and a doctor stew."
5f55d2fa-4f40-4619-a49c-4928d46551ef,de0968d3-05ee-4104-872b-f02aaefa2646,2018-09-02T14:05:11.459496,Jaffle shop is average. Ordered a adele-ade.
bfa729c3-c5c6-4ac4-8fc8-3270b406ac67,172868fd-aa2a-4300-99e4-854f24f724f6,2018-09-02T12:27:20.958189,Jaffle Shop again. Ordered a tangaroo. This place is gross.
e736c896-250d-4484-94ca-8a13b5569a38,fc65a46a-0691-45bf-bf23-d3933084998d,2018-09-02T14:35:19.795815,"Jaffle shop is pretty decent. Ordered a tangaroo, a chai and mighty, a mel-bun, and a the krautback."
76e81290-1d90-4d60-8867-6fe7c37b19e4,9ef83201-4779-42f6-9226-ee923629afae,2018-09-02T13:26:52.847911,Jaffles from the Jaffle Shop are the best! Ordered a for richer or pourover .
fcfa6c07-28be-4788-a29a-2479d73f09f5,b283b919-b296-4b67-8866-a984b08c72e8,2018-09-03T07:35:33.287728,Jaffles from the Jaffle Shop are my favorite! Ordered a tangaroo.
1d076829-27db-4acc-8d7a-6fe30f6437b5,c91e2410-0b9b-4e8d-8186-7dea5a7744af,2018-09-03T12:41:27.603295,Jaffle Shop again. Ordered a vanilla ice. This place is awful.
8abdd03e-1755-45a9-9a90-615b7423714f,9a273d52-cb0e-4cac-ae15-2f88fc7ddad0,2018-09-03T08:11:45.781021,Jaffle Shop again. Ordered a for richer or pourover . This place is terrible.
e141f532-f52c-4fd4-8f62-c2f102f27ccb,de0968d3-05ee-4104-872b-f02aaefa2646,2018-09-03T09:50:21.556181,Jaffle shop is solid. Ordered a adele-ade.
1739f188-da06-4ea4-beaa-3e8a4c59a3bf,bf3843db-8e9b-40bf-809b-9880ce4485ba,2018-09-03T09:14:27.942312,Jaffle shop is okay. Ordered a for richer or pourover .
2729774c-7f39-416e-adf5-dc2571481dca,9b5073c4-2d8d-4c4c-95b3-0610dd328b17,2018-09-03T08:27:06.231201,Jaffles from the Jaffle Shop are amazing! Ordered a tangaroo.
f9fedfac-fbab-4df2-8384-0244e5b51ecc,1dd880ca-36de-4ef6-8c12-75b672e321f4,2018-09-03T11:52:38.261002,Jaffle Shop again. Ordered a adele-ade. This place is disgusting.
8e79f34c-5c9e-4169-b9b2-904aa6a13b45,172868fd-aa2a-4300-99e4-854f24f724f6,2018-09-03T11:09:27.681269,Jaffle Shop again. Ordered a for richer or pourover . This place is inedible.
2db2858b-7d5d-4c9f-bca7-153462a0dba4,b224b4c6-bfcc-45cf-ba74-8912d86459c6,2018-09-03T10:47:56.048906,Jaffle shop is solid. Ordered a chai and mighty.
bd8c5a33-bfcc-44bf-8d98-5a87dcc3ecb5,c69dadd3-63bc-4c66-8274-7389eb2affb6,2018-09-03T12:23:55.959744,Jaffles from the Jaffle Shop are delicious! Ordered a adele-ade.
f54d5da2-6c95-44f0-9446-41462fc6da20,a643237f-410f-4c3b-b13d-a826f177dd5f,2018-09-03T10:33:09.084207,Jaffle shop is solid. Ordered a vanilla ice.
25ee97ad-d9cb-4654-ac1b-255966bebe62,6ad1cf1b-50ad-4705-b729-fb86140bc3cb,2018-09-03T13:26:02.580530,Jaffles from the Jaffle Shop are fantastic! Ordered a for richer or pourover .
5b52ada6-f649-4972-b189-ceac5f9cb77a,02a8cd30-2d92-4a22-95f5-bbc356575542,2018-09-03T12:14:21.148510,"Jaffles from the Jaffle Shop are the best! Ordered a flame impala, a nutellaphone who dis?, and a mel-bun."
e6c63353-777b-410d-b347-cfcabe7c5ca4,a19d1099-506d-448b-be77-0df0b76d7ab7,2018-09-03T15:55:55.723780,Jaffle shop is alright. Ordered a chai and mighty.
574064ee-8260-4527-9d01-23d3760e7c43,85f1a319-c8b8-40fc-937f-c65cdfe650b1,2018-09-03T08:37:12.917775,Jaffles from the Jaffle Shop are awesome! Ordered a chai and mighty.
9e65c09b-9f6b-4704-af9e-536a9de36186,ad90ab38-d7f3-40ac-a6a3-2b1dc10f5771,2018-09-03T11:00:25.592051,Jaffles from the Jaffle Shop are awesome! Ordered a chai and mighty.
24f99b05-352c-4e4f-b0fa-3db7e63148ef,3f112f22-bc32-4662-8aba-06e59ed28148,2018-09-03T14:04:33.099855,Jaffles from the Jaffle Shop are the best! Ordered a tangaroo.
9618a25f-8083-4204-946c-e26878e76068,649461e8-4ce2-4671-b07a-628e30a92fff,2018-09-04T08:21:57.101434,Jaffle shop is okay. Ordered a vanilla ice.
18818c7b-342c-47c9-9624-87ac34602495,438ebf2d-2d1d-42d1-8da2-6ef25c9cea17,2018-09-04T08:34:09.213110,Jaffles from the Jaffle Shop are awesome! Ordered a chai and mighty.
87b4d2ae-15c0-46d1-8fab-d1edca539897,fd331441-4cd5-411c-8010-a47c39d34011,2018-09-04T07:57:07.330223,Jaffle shop is fine. Ordered a adele-ade.
3b6af46d-9326-4679-a560-3d56484da0d1,226b17b5-02a6-4184-b9e6-1a40b63fa98b,2018-09-04T13:24:46.763680,Jaffle Shop again. Ordered a chai and mighty. This place is awful.
81932e02-dee1-4d6f-b077-87c9b78cf640,569a0cbe-1917-4134-9b37-6866be6ff13d,2018-09-04T11:52:18.080304,Jaffle shop is pretty decent. Ordered a for richer or pourover .
7ced7e32-2ccc-4ca9-9b09-db67a25f4aba,172868fd-aa2a-4300-99e4-854f24f724f6,2018-09-04T11:22:14.961047,Jaffle Shop again. Ordered a chai and mighty. This place is disgusting.
5b0b8f4f-1e9a-43cf-b026-f93dc7ad26de,b224b4c6-bfcc-45cf-ba74-8912d86459c6,2018-09-04T13:13:28.097932,Jaffle shop is pretty decent. Ordered a vanilla ice.
